question,answer
Is Microsoft Teams supported in Vibe boards?,"Our product experts can provide a walk-through of how the Vibe board works, including its integration with Microsoft Teams during a scheduled demo."
What are the specifications of the Vibe board's speakers?,"You can discuss the specifications, including those of the speakers, with one of our product experts during a demonstration."
Can Vibe boards be integrated on an enterprise level using MS Intune?,"Our expert, Austin, during a scheduled product demonstration, will advise on the possibility of integrating Vibe boards with enterprise solutions such as MS Intune."
What is the cost of integrating Vibe boards in a Microsoft enterprise environment?,The cost specifics for setting up a Vibe board in a Microsoft enterprise environment can be discussed with our product expert during a demo.
Can Windows OS be installed natively on Vibe Boards?,"Windows OS cannot be installed natively on our Vibe Boards as of now, but it is a feature that is being worked on for later in 2023."
"If a Vibe Board with Chrome OS is purchased now, can it be converted to Windows once available?","Yes, a Vibe Board purchased with Chrome OS can later be converted to Windows OS when it becomes available."
Is it possible to convert the Vibe Board to Windows OS currently?,Conversion to Windows OS is possible as it is currently in the Beta phase.
What resources are available for teaching with Vibe?,"We have a 20-minute demo, a 4 min product tour, case studies from kindergarten teachers and universities, and numerous educational blogs."
What sizes of Vibe Interactive Whiteboards are available?,"We have two sizes available: 55"" and 75""."
Can I set up a virtual demo to see the Vibe board in action?,"Yes, if you are interested, we can set up a virtual demo for you to see the board in action."
Is there any current promotion for Vibe boards?,"Unfortunately, there is no promotion currently, but you can sign up for our newsletter to get notified about future sales."
Does Vibe provide international shipping?,"Unfortunately, Vibe does not currently ship internationally to places like Vietnam or Asia, but they are working on global expansion and potential customers can join a waiting list."
Can the Vibe S1 55 Inch Interactive Whiteboard be connected to a wired LAN?,"The Vibe S1 55 Inch Interactive Whiteboard does not have a native Ethernet port, but you can connect to a wired LAN using a USB-C to Ethernet converter plugged into port 1 or 3 of the board."
"If someone used a dry erase marker on a Vibe interactive whiteboard by mistake, how can that be fixed?","The screen of the Vibe interactive whiteboard is made of 3 mm tempered glass with anti-glare, anti-fingerprint coating and doesn't have a screen protector. The company provides an article with tips for cleaning and taking care of the Vibe board, which includes how to clean the screen if a marker is used by mistake."
Is there a glass on the front of the Vibe interactive whiteboards?,"Yes, the front of the Vibe interactive whiteboards is made of 3 mm tempered glass with anti-glare, anti-fingerprint coating."
Can you order replacement styluses for the Vibe interactive whiteboard?,"Yes, you can order additional styluses on the Vibe website, although physical damages to the stylus are not covered under the manufacturer's warranty."
Can Vibe interactive whiteboards be connected to a domain?,"Yes, Vibe interactive whiteboards can be connected to a domain."
What should I do if my company credit card is not going through for a Vibe S1 purchase?,"You can check with your bank or financial institution to ensure the authorizations are removed so you can proceed with the purchase. Additionally, the sales assistant can create a payment link for you, and if you still encounter issues, you might need to try again later or use a different browser or card."
Can I purchase the Vibe S1 on Amazon if I'm having issues buying it through your website?,"Yes, the Vibe S1 is available for purchase on Amazon."
How much does the Vibe S1 board and stand cost on Amazon?,"The Vibe S1 board and the stand would cost $3,579 before taxes on Amazon."
What options do I have if my payment is getting declined for technical reasons?,"If your payment is declined for technical reasons, it's suggested to try connecting to another network, try purchasing from an incognito browser, or attempt the purchase again later. Additionally, you can try using a different credit card or browser."
How can I proceed if the Vibe S1 purchase isn't working on my current network or browser?,You can switch to another network or try purchasing from an incognito browser to see if it resolves the issue.
"Does the Vibe S1 55"" interactive whiteboard come with a wall mount?","No, the S1 55"" board doesn't come included with a wall mount. You would need to purchase one separately."
"What should I look for in a wall mount for the Vibe S1 55"" interactive whiteboard?","Most TV wall mounts would work for the S1 Board 55"" as long as it supports VESA 200X200 and can support at least 51.6 pounds. The supported screw model is M6, and the length should be between 12-20mm."
"If I order a Vibe stand today, when can I expect to receive it?","It typically takes 1-2 days to process an order, and then shipping within the US is approximately 5-7 business days."
Are Vibe boards compatible with third-party stands?,"The conversation does not specify compatibility with third-party stands, but Armando already owns a Vibe board and is looking to purchase a Vibe stand."
Can I receive my order by expedited shipping?,"Vibe is not set up for expedited shipping online, but depending on your location and circumstances, the Logistics team might be able to arrange something."
Is there a separate cost for ordering a stand without the Vibe board?,The cost for a standalone stand is $500 but there's a bundle cost of $300 available. Shipping for the standalone stand would be an additional $80.
Is the price the same if I order through Amazon?,"Yes, the cost for the stand is the same on Amazon. However, for tax-exempt orders, it is suggested to order on the Vibe website."
How do I process a tax-exempt purchase on the Vibe website?,You would need to share your shipping address and tax exemption form to create a custom purchase link.
How will I know when my order has shipped?,You will receive an email confirmation with tracking details once the order is shipped.
Is expedited shipping available even though it's not offered online?,"Expedited shipping isn't available online, but the sales assistant can inquire with the Logistics team for possibilities."
What should I do if the website cart is not working?,"If you're having issues with the website cart, a sales representative can provide a custom purchase link to complete your order after collecting the necessary information like billing/shipping address, contact name, contact number, items to purchase, and sales tax-exempt form if applicable."
Can I get a discount if I am an existing customer?,"Yes, as an existing customer, you may be eligible for a special exclusive customer discount on your purchase."
"What should I do if I receive a ""critically low disc space"" alert after adding only a handful of Canvases?","You should contact technical support for assistance, and they will create a support ticket for you to resolve the issue."
How will the support team contact me after creating a support ticket?,The support team will reach out to you through email.
What is the total height of the Vibe S1 on the stand?,The total height of the Vibe S1 on the stand is 71 inches.
Do you have a recommended wall mount for the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, most TV wall mounts would work as long as it supports VESA 200X200 and can support at least 65 pounds. The supported screw model is M6, with a length between 12-20mm depending on the mount."
Does the power cord that comes with the Vibe board work well with a wall mount?,"The standard power cord may not be ideal for a wall mount as it sticks straight out of the back. Vibe does not offer a right angle plug, but it's recommended to find a compatible right angle adapter."
"How much does the Vibe S1 55"" Interactive Whiteboard cost?","The Vibe S1 55"" Interactive Whiteboard is priced at $3,299 USD."
"What is included in the box with the Vibe S1 55"" Interactive Whiteboard?","Included in the box are the Vibe Board S1 55"", a stylus, a power cord, and a quick start guide."
"How much does the Vibe S1 75"" Interactive Whiteboard cost?","The Vibe S1 75"" Interactive Whiteboard is available at a cost of $6,999 USD."
"What is included in the box with the Vibe S1 75"" Interactive Whiteboard?","Included in the box are the Vibe 75"" board, 2 styluses, a wall mount, a remote controller, an HDMI cord, a USB cable, a power cord, and a quick start guide."
Is there an additional cost for a stand for the Vibe S1 Interactive Whiteboard?,"Yes, the stand is an additional cost of $899 USD."
Does Vibe offer discounts for purchasing multiple boards?,"Yes, there may be discounts offered for purchasing multiple boards."
Is there a comparison available between Vibe boards and Promethean boards?,"Yes, there is a comparison available at https://vibe.us/lp/compare-promethean/."
Does Vibe have resources for using their interactive whiteboards for teaching?,"Yes, Vibe offers a variety of educational resources, including demos, product tours, case studies, and blogs."
"Is the 75"" Vibe board sales tax exempt for schools?","The chat did not specify whether the 75"" Vibe board is sales tax exempt for schools. Further clarification from the company would be needed."
Which cameras are compatible with the Vibe Pro 75?,"Most cameras that support standard Universal Video Class (UVC) should work with the device. Tested and confirmed cameras include the eMeet C980 Pro Webcam, Logitech BRIO, Logitech Conference Cam Bcc950, Logitech Meetup, Meeting Owl Pro, and Poly Studio P15."
"Is there a way to factory reset the Vibe S1 55"" interactive whiteboard?","Yes, you can factory reset the board by following the steps provided in the Vibe Help Center article ""How to Factory Reset/Restore the Vibe board."" However, you will need to connect a USB mouse to navigate."
"What type of ports are available on the Vibe S1 55"" interactive whiteboard for connecting devices?","The Vibe S1 55"" interactive whiteboard has Type-C ports."
What should I do if I encounter issues with my Vibe interactive whiteboard?,"If you encounter issues with your Vibe interactive whiteboard, you should submit a support ticket to support@vibe.us or through the Vibe Knowledge Base. Please include the model and serial numbers as well as a picture or short video of the issue."
Can I request a copy of the conversation with Vibe's support?,"Yes, you can request a copy of the chat to be emailed to you after the conversation is concluded."
Can a video call be organized for support with the Vibe products?,"Yes, if necessary, you can request a support call via Zoom. The availability for a Zoom call depends on the support manager's schedule."
Does the Vibe stand come included with the board?,"No, the Vibe stand has to be purchased separately and does not come included with the board."
Where can I find the Vibe stand to purchase?,You can select the stand from our accessories list on the 'Shop Vibe Interactive Smart Whiteboards' page on the Vibe website.
How can I create a template for the Vibe interactive whiteboard?,You can use a JPG image and insert that onto the whiteboard to use as a template.
How can I prevent a photo used as a template on the Vibe interactive whiteboard from moving when writing notes on it?,"Normally, you can lock the photo in place; however, if that doesn't work, you can contact support for assistance."
Can I request a call from Vibe support instead of waiting for an email response?,"Yes, you can request a call from the support team by providing your contact number."
How can I purchase replacement styluses for my Vibe Board?,"You can purchase replacement styluses from the accessories list on our webpage ""Shop Vibe Interactive Smart Whiteboards | Vibe"". Scroll midway down the page to see the accessories and click the toggle on the right to find the stylus options. The stylus pack for $15 USD is compatible with the original 55"" Vibe board."
Can the Vibe board run a Windows OS natively?,"Currently, Vibe boards do not run Windows OS natively, but the team is working on this for later in 2023."
Do Vibe products come with free curbside delivery?,"Yes, all orders come with free curbside delivery unless specified otherwise."
Are there fees associated with specific delivery needs like inside delivery or lift gate services?,"Yes, there are additional fees for specific delivery needs such as inside delivery or lift gate services."
Can delivery preferences be changed after the order has been processed or shipping has started?,"No, once the order is processed or shipping has started, delivery preferences cannot be changed."
Is the cost for specific delivery services valid indefinitely once a quote is given?,"No, the cost for specific delivery services is only valid for 72 hours and will need to be updated after this time passes."
Can the Vibe board be flipped to portrait mode?,The Vibe board cannot flip vertically; it is designed to be used in landscape mode.
What applications come on the 75 inch Vibe Interactive Whiteboard?,"The 75 inch Vibe Interactive Whiteboard comes with Vibe Canvas, Chromium browser, a few other preinstalled apps, and supports many third-party apps through the Google Play Store and Chrome Web Store."
Can I connect a laptop to the Vibe Interactive Whiteboard?,"Yes, you can connect your laptop to the Vibe Interactive Whiteboard via wireless screencasting or HDMI."
"What's included in the $6999 price for the 75"" Interactive Digital Whiteboard?","The $6999 price for the Vibe 75"" Interactive Digital Whiteboard includes the whiteboard, two styluses, a wall mount, a remote controller, an HDMI cord & USB cable, a power cord, and a quick start guide. A stand for the whiteboard is available at an additional cost of $899 USD, though currently there is a $100 discount on the stand."
Is the Vibe C1 AI Camera compatible with the Vibe S1 75 Inch Interactive Whiteboard?,"No, the Vibe C1 AI Camera is for the Vibe S1 55"". For the Vibe S1 75"", standard Universal Video Class (UVC) compatible cameras should work with the device."
Could you recommend any compatible cameras for the Vibe S1 75 Inch Interactive Whiteboard?,"Yes, compatible cameras include the eMeet C980 Pro Webcam, Logitech BRIO, Logitech Conference Cam Bcc950, Logitech Meetup, Meeting Owl Pro, and Poly Studio P15."
Does the Vibe S1 75 Inch Interactive Whiteboard come with a wall mount?,"Yes, the 75"" board comes with a complimentary wall mount included with your purchase."
"How can I tell if my Vibe board is the original or the S1 55"" model?",You can check the model number on the sticker at the back of the board.
"Does the active stylus work with the original Vibe 55"" board?","No, the active stylus only works with the S1 55"" Vibe board."
Can I purchase additional styluses for my Vibe board?,"Yes, you can buy a pack of passive styluses for $15 USD."
What operating system does the Vibe board run on?,The Vibe boards run on VibeOS which is based on Chromium OS.
Can the Vibe board connect directly to a router or switch using Ethernet?,The Vibe Board is Wi-Fi enabled and can also be connected using Ethernet.
"How many touchpoints does the Vibe S1 55"" board support?","The Vibe S1 55"" board supports 10 simultaneous touchpoints and accommodates up to 4 persons at the board at the same time."
Can team members use iPad Pros with Apple Pencils to collaborate and draw on the Vibe Canvas app?,"Yes, team members can use their iPad Pros with Apple Pencils to collaborate and draw using the Vibe Canvas app."
"Can I use the Vibe board as a TV, for example to plug in an Apple TV and view content?","Yes, you can use Vibe boards for TV services and connect a TV box via HDMI."
What TV services can Vibe boards access?,"Vibe boards allow for TV services such as Netflix, Disney+, Hulu, Amazon Prime Video, YouTube, AT&T TV, Sling TV, etc."
Does the Vibe Pro board have additional features or is it just bigger?,"The main difference between the Vibe S1 55"" and the 75"" Pro is the size and price; they have similar capabilities."
"Can you attach a camera to the Vibe S1 55""?","Yes, an attachable camera (SmartCam) can be purchased with the Vibe S1 55"" as part of a bundle."
What cameras are compatible with the Vibe 75-inch Pro?,"Most cameras that support standard Universal Video Class (UVC) should work with it. Tested cameras include eMeet C980 Pro Webcam, Logitech BRIO, amongst others."
How quickly do Vibe boards ship?,"Orders are typically processed in 1-2 days, and shipping within the US takes about 5-7 business days, depending on the location."
"Can the Vibe S1 55 Inch Interactive Whiteboard, stand, and webcam be delivered by the end of next week?","Standard shipping typically takes 5-10 business days, so it might require expedited shipping to ensure delivery by the specified time. The salesperson will follow up via email with further details after discussing with the Logistics team."
Can a WACOM board be connected to a Vibe interactive whiteboard?,"Although it hasn't been tested, since the WACOM board connects via USB, it should work with Vibe interactive whiteboards."
How are the whiteboard capabilities of Vibe boards?,Vibe boards are very versatile and come with many features. There are product tours and demonstration videos available to help understand their capabilities.
Is the 75” model considered a “smart board” as well?,"Yes, both the 55"" and 75"" boards are smart whiteboards."
How difficult is the setup and configuration for Vibe boards?,The Vibe board is plug-and-play with easy setup prompts. Installation varies depending on whether it is used on a stand or mounted on a wall.
Do I need to buy a separate computer to run the board?,"No, the boards have their own built-in processors and do not require a separate computer."
Can I connect a computer wirelessly or via HDMI to the Vibe board for screencasting?,"Yes, you can connect a computer wirelessly or use HDMI for screencasting."
"When I want to schedule a meeting, do I invite the board via a unique email?",That is one of the options for scheduling a meeting with the Vibe board.
Do I have to use Chrome Browser to screencast with Vibe?,"No, you can use the Vibe Cast app for screencasting."
Can the Vibe boards be used as a primary computer and replace a home PC for home education?,"Yes, Vibe boards can function similarly to a computer or a giant tablet with whiteboarding features, Wi-Fi-enabled and don't require a computer to power the device."
Can a keyboard be connected to the Vibe boards for typing essays and writing reports?,"You can connect a wireless keyboard and mouse to the board, and it also has an onscreen keyboard."
Does the Vibe S1 75 Inch Interactive Whiteboard have a built-in camera?,"No, the Vibe S1 75 Inch Interactive Whiteboard does not have a built-in camera, but it is compatible with most cameras that support standard Universal Video Class (UVC)."
Is there a camera available for purchase that works with the Vibe S1 55 Inch Interactive Whiteboard?,"Yes, the Vibe SmartCam C1 works with the Vibe S1 55"" Board and can be purchased as a bundle with the board."
What UC hardware do you recommend for the Vibe S1 75 Inch Interactive Whiteboard?,"Recommended cameras, speakers, and microphones for the Vibe S1 75 Inch Interactive Whiteboard can be found in the following article: https://vibe.how/en/articles/7063001-which-cameras-and-microphones-work-with-the-vibe-board-pro-75."
Is Vibe Microsoft Certified?,"Vibe is not Microsoft certified per se, but if you have a Microsoft subscription, you can use the apps on Vibe boards."
Can Vibe boards be controlled and managed through the Microsoft Teams Admin Center?,"Vibe boards may not be directly managed through the Microsoft Teams Admin Center, but Vibe has its own Admin portal that provides administrative control features."
Is the Vibe Admin portal a separate license?,"No, the Vibe Admin portal is included for free with the Vibe boards."
Does Vibe offer a trial period for its products?,"Vibe does not offer a trial period, but there is a 30-day return policy where customers can return the device within 30 days of delivery and only need to cover the cost of shipping back to the warehouse."
What are the recommended camera options for the Vibe S1 75 Inch Interactive Whiteboard?,The recommended camera options for the Vibe S1 75 Inch Interactive Whiteboard can be found in the article on this page: https://vibe.how/en/articles/7063001-which-cameras-and-microphones-work-with-the-vibe-board-pro-75.
Can other USB-connected cameras be used with the Vibe S1 75 Inch Interactive Whiteboard?,"Yes, other USB-connected cameras will work as long as they support the standard Universal Video Class (UVC)."
Can you plug a second USB camera into the Vibe interactive whiteboard?,"Yes, you can connect a USB camera to the USB port on the Vibe interactive whiteboard."
Is it possible to use Zoom with a second extended USB camera on the Vibe board?,The Vibe board does not support connecting an external camera via an extended USB cable for use with video conferencing apps like Zoom directly. The camera has to be connected directly to the board or you can join the call from your computer as a participant from the Vibe board and share your screen/content.
Can you use a long USB cable with an external webcam connected to the Vibe board?,"The video quality might be impacted over long distances when using a long USB cable with an external webcam, and it has not been confirmed if this setup has been tested by the Vibe team."
How can I track my Vibe camera shipment if the tracking number doesn't work?,The Vibe camera is shipped separately and has its own tracking number. You will be provided with the updated tracking number and expected delivery date by customer service.
Who do I contact if I have an issue with my Vibe camera?,"For issues with your Vibe camera, you can reach out to the support team via email at support@vibe.us or submit a support ticket through the Vibe Knowledge Base."
What should I do if the attachment for the S1 Camera won't fit?,"If you encounter an issue with the camera attachment, please contact the support team with pictures or a short video of the issue so they can assist you accordingly."
How can I get in touch with the Vibe support team?,You can contact the Vibe support team by sending an email to support@vibe.us or by submitting a support ticket through the Vibe Knowledge Base.
"Does the 75"" model have a camera/mic accessory for online collaboration?","The Vibe Pro 75"" does not come with a built-in camera, but it is compatible with most standard Universal Video Class (UVC) cameras."
"Can the Vibe Pro 75"" model integrate with apps like Zoom and Teams?","Yes, third-party UVC compatible cameras work with the Vibe Pro 75"" and can integrate with apps like Zoom and Teams just as they do with the 55"" model."
"Can cameras be used with the 55"" Vibe board as well?","Yes, third-party cameras compatible with the Universal Video Class standard can also work with the Vibe 55"" board."
Do most customers purchase a camera with the Vibe board?,Many customers who need a camera choose to purchase the Vibe SmartCam as a bundle with the board.
What should I do if my Vibe board has a shadow issue?,"If your Vibe board has a shadow issue, a support ticket will be created on your behalf, and the support team will get back to you via email to assist with the issue."
Is there a warranty on the Vibe boards?,Vibe boards come with a standard one year manufacturer warranty.
What information is needed to check if a Vibe board is still within warranty?,The order number is needed to check if the Vibe board is still within warranty.
Can the original Vibe 55-inch board be upgraded to use a camera?,"There is no guarantee that connecting a camera directly to the board will work, it's more suitable to be used as an accessory and the camera should be connected to and host the call from a computer."
Is there a remote control for the Vibe 55-inch board?,"There isn't a dedicated remote control for the Vibe 55-inch board, but a third-party remote control can be used, or the Eshare app can work as a remote control if you have an iPhone."
Does Vibe offer a trade-in program for their boards?,Vibe does not have a trade-in program at the moment.
How do I change the time in the lower left corner of my Vibe board?,"To change the time on the Vibe board, go into Settings and look for Date and Time to set the correct time zone."
Why does my Vibe board go into power save mode when trying to set it up?,Make sure the OPS module is connected to the board. You can follow the steps provided in the link to insert the OPS module to ensure proper setup.
Is there a way to quickly log in to all apps on Vibe without entering credentials each time when multiple people are using the board?,"Yes, you can use the Vibe One mobile control app to easily log in and authenticate yourself, avoiding the need to manually log in to each app every time the board is used by different people."
"Do you still support the original 55"" Vibe Interactive Whiteboard?","Yes, we still support the original 55"" Vibe Interactive Whiteboard."
Who can be contacted at Vibe for security questions regarding their devices?,"Vibe's Technical Support Manager, Rhett, can be reached at rhett@vibe.us for security-related inquiries."
Is there a contact number for Vibe's Technical Support Manager?,"Yes, you can email Rhett at rhett@vibe.us to obtain an appropriate contact number."
Is there an external microphone available for Vibe boards?,"While Vibe boards do not have built-in microphones, you can connect a USB microphone such as Emeet M2, Emeet M220, or use a camera with microphone capabilities like the Vibe SmartCam."
What sizes are available for the Vibe interactive whiteboards?,"We currently have two Vibe boards available: 55"" and 75""."
"What kind of mounts can be used with the Vibe S1 Board 55""?","For our S1 Board 55"", most TV wall mounts would work as long as it supports VESA 200X200 and can support at least 65 pounds."
"What type of screws are needed for mounting the Vibe S1 Board 55""?","The supported screw model is M6, and the length depends on the mount but should be between 12-20mm."
Does the Vibe stand come with the hardware kit needed for attaching the board?,"Yes, our Vibe stand comes included with the hardware kit to attach the board."
"Is there a wall mount included with the purchase of the 75"" Vibe Pro Board?","Yes, our 75"" Vibe Pro Board comes with a complimentary wall mount included when purchased."
Where does my canvas save if I am a guest?,"As a guest, the Canvas is not saved and using the end session feature will clear the canvas."
Is there a backup for the guest mode in Vibe Canvas?,"Unfortunately, there isn't a backup for guest mode in Vibe Canvas."
How can I save a guest canvas without losing it?,"To save a canvas without losing it, you need to sign into your Vibe account before creating the canvas."
Can the Vibe S1 interactive whiteboard be used for presentations that can be manually scrolled through and presentations that would automatically run?,"Yes, the Vibe S1 interactive whiteboard supports presentations, including those that can be manually scrolled through and presentations that run automatically."
Does Vibe support PowerPoint presentations?,"Yes, PowerPoint is supported and integrates well on Vibe boards."
Can Vibe Boards be wall mounted?,"Yes, all Vibe Boards can be wall mounted. The 75"" Vibe Pro Board comes with a complimentary wall mount included, and the 55"" S1 Vibe Board can use most TV wall mounts that support VESA 200X200 and can hold at least 65 pounds."
Does Vibe offer non-profit pricing?,"Vibe does not have special non-profit pricing, but the company can remove taxes with a valid sales tax exemption certificate."
How can I receive a quote from Vibe?,"To provide a quote, Vibe needs the billing/shipping address, contact name, contact number, and the company name."
Does Vibe have any discounts for new customers?,Vibe offers a WELCOME100 discount as a thank you to new customers.
